card_number,amount,timestamp,location,merchant_category,currency,device_type
2272651609774176,851.71,2014-01-10T02:14:31,"{'city': 'East Kimberlyville', 'state': 'OH'}",Utilities,BIF,Mobile
6599263954369441,646.59,2005-07-31T23:51:33,"{'city': 'Cooperbury', 'state': 'GU'}",Grocery,KZT,Mobile
676270095539,647.69,1986-12-28T13:10:38,"{'city': 'Laurenshire', 'state': 'IN'}",Electronics,MKD,Tablet
376498327224418,221.15,1976-03-08T16:35:03,"{'city': 'Vanessaton', 'state': 'AL'}",Entertainment,ANG,Mobile
4728146237074699,854.40,2018-10-28T17:47:04,"{'city': 'Port Victor', 'state': 'SC'}",Grocery,BOB,Desktop
2353117415021204,87.03,2001-12-21T17:17:01,"{'city': 'Tracyport', 'state': 'GA'}",Grocery,CNY,Desktop
6011478088166956,766.59,2018-11-09T08:22:34,"{'city': 'Lake Melissaside', 'state': 'WI'}",Electronics,IDR,Tablet
3556277706209257,880.58,1997-10-13T18:32:34,"{'city': 'Lake Lindsay', 'state': 'TX'}",Entertainment,BBD,Tablet
341747195519651,648.76,1975-02-01T00:43:27,"{'city': 'South Elizabeth', 'state': 'ND'}",Entertainment,UYU,Mobile
4434572997642554,433.32,1993-08-21T14:32:30,"{'city': 'North Christopherberg', 'state': 'NE'}",Utilities,MWK,Tablet
2716944968151969,383.48,1975-08-01T20:42:28,"{'city': 'South Danielton', 'state': 'GA'}",Grocery,BWP,Mobile
6582644832126716,196.93,1998-09-21T10:06:28,"{'city': 'South Tinamouth', 'state': 'IA'}",Clothing,MRO,Mobile
4678585523314766,146.09,1995-02-07T02:35:44,"{'city': 'South Christophershire', 'state': 'CT'}",Entertainment,MMK,Mobile
4432867533440873,30.43,2006-09-27T05:58:17,"{'city': 'Josephville', 'state': 'WY'}",Grocery,CHF,Tablet
3526788211836894,31.23,2005-03-08T13:23:31,"{'city': 'Lake Thomas', 'state': 'NH'}",Clothing,PKR,Tablet
4041392708234624,625.59,2010-04-08T05:19:15,"{'city': 'Boydhaven', 'state': 'AZ'}",Electronics,TND,Tablet
4497728570045250,176.92,1983-03-21T21:23:43,"{'city': 'Danielmouth', 'state': 'FM'}",Grocery,GYD,Desktop
2605085335805574,473.10,1997-08-20T06:00:00,"{'city': 'South Aprilberg', 'state': 'VT'}",Utilities,ARS,Mobile
576919956572,797.40,1977-01-03T12:09:31,"{'city': 'Dannyview', 'state': 'TX'}",Entertainment,LSL,Mobile
4446754297796043,767.16,2022-09-14T13:05:42,"{'city': 'Kristinaburgh', 'state': 'MI'}",Clothing,BHD,Tablet
3593786670214072,388.80,2000-06-28T23:27:44,"{'city': 'Webbhaven', 'state': 'ID'}",Electronics,MKD,Desktop
4581231102912748,981.12,2021-05-20T22:38:00,"{'city': 'Juliaport', 'state': 'WA'}",Clothing,JEP,Mobile
4201826216020,455.03,2009-07-02T13:00:37,"{'city': 'Austinstad', 'state': 'LA'}",Entertainment,RWF,Desktop
4184599918712985751,37.27,1997-04-22T13:22:32,"{'city': 'West Roy', 'state': 'MN'}",Electronics,BYR,Mobile
213170769563291,172.30,2000-05-28T23:44:54,"{'city': 'South Bruceberg', 'state': 'WY'}",Utilities,BMD,Tablet
213164658213662,383.14,2018-09-04T02:16:45,"{'city': 'Jeffreyhaven', 'state': 'WV'}",Entertainment,ETB,Desktop
6011261136962794,869.35,1981-09-17T23:17:33,"{'city': 'Danastad', 'state': 'MH'}",Entertainment,GEL,Mobile
377288671210942,100.40,1978-06-02T10:03:54,"{'city': 'Rachelberg', 'state': 'AK'}",Grocery,KWD,Tablet
5281852124164727,496.38,2010-02-14T20:58:36,"{'city': 'Shafferstad', 'state': 'ID'}",Clothing,ANG,Desktop
2241226744634540,624.12,2013-04-03T14:42:33,"{'city': 'Hayestown', 'state': 'NC'}",Electronics,ISK,Mobile
372839906792420,465.83,2012-02-27T07:55:40,"{'city': 'Johnside', 'state': 'MI'}",Entertainment,PEN,Desktop
2254411219247119,236.19,2021-08-07T23:32:45,"{'city': 'Kaitlynbury', 'state': 'AZ'}",Entertainment,KWD,Tablet
3583116554313851,948.64,2007-10-24T22:46:10,"{'city': 'West Jessicaport', 'state': 'RI'}",Entertainment,CNY,Mobile
2273780981253001,57.00,1987-12-02T04:32:08,"{'city': 'Howellville', 'state': 'MD'}",Utilities,SAR,Tablet
568580313613,943.40,2002-05-26T11:58:54,"{'city': 'Sonyatown', 'state': 'VA'}",Utilities,BDT,Desktop
4449871549512965,840.30,1990-01-08T04:26:36,"{'city': 'Charlesberg', 'state': 'CO'}",Utilities,SYP,Desktop
38260393224999,830.20,2008-06-26T18:23:46,"{'city': 'Collierfort', 'state': 'NM'}",Electronics,KWD,Tablet
6011907078465127,94.42,1985-12-11T16:16:57,"{'city': 'Jordanmouth', 'state': 'MH'}",Grocery,RWF,Desktop
4622400286644,73.96,1994-10-14T12:42:33,"{'city': 'Navarrobury', 'state': 'ID'}",Clothing,YER,Desktop
6552767117650484,772.15,2021-01-22T10:04:29,"{'city': 'North Josephport', 'state': 'MS'}",Entertainment,MYR,Desktop
4233870087098296,515.20,1984-05-09T19:01:31,"{'city': 'South Richardfort', 'state': 'MS'}",Utilities,BWP,Desktop
675967307140,27.88,1981-09-30T12:33:24,"{'city': 'South Christinafort', 'state': 'WY'}",Electronics,SGD,Tablet
060447788161,620.47,2018-10-01T13:42:36,"{'city': 'South Ray', 'state': 'OR'}",Entertainment,GIP,Mobile
378771016768822,733.02,1986-02-24T21:55:07,"{'city': 'Michaelhaven', 'state': 'GU'}",Electronics,MXN,Tablet
676118187506,43.65,2015-02-12T14:03:34,"{'city': 'Laurenstad', 'state': 'AK'}",Utilities,COP,Desktop
4346267133028951,312.27,2023-06-04T19:10:24,"{'city': 'Cindyshire', 'state': 'KS'}",Electronics,IQD,Desktop
